"sales_id","order_id","date_id","customer_id","product_id","sales_amount"
"1","CA-2017-152156","20170811","CG-12520","FUR-BO-10001798","261.96"
"2","CA-2017-152156","20170811","CG-12520","FUR-CH-10000454","731.94"
"3","CA-2017-138688","20171206","DV-13045","OFF-LA-10000240","14.62"
"4","US-2016-108966","20161110","SO-20335","OFF-ST-10000760","22.368"
"5","CA-2015-115812","20150906","BH-11710","FUR-FU-10001487","48.86"
"6","CA-2015-115812","20150906","BH-11710","OFF-AR-10002833","7.28"
"7","CA-2015-115812","20150906","BH-11710","TEC-PH-10002275","907.152"
"8","CA-2015-115812","20150906","BH-11710","OFF-BI-10003910","18.504"
"9","CA-2015-115812","20150906","BH-11710","OFF-AP-10002892","114.9"
"10","CA-2015-115812","20150906","BH-11710","TEC-PH-10002033","911.424"
"11","CA-2017-161389","20170512","IM-15070","OFF-BI-10003656","407.976"
"12","CA-2015-105893","20151111","PK-19075","OFF-ST-10004186","665.88"
"13","CA-2017-137330","20170912","KB-16585","OFF-AR-10000246","19.46"
"14","CA-2017-137330","20170912","KB-16585","OFF-AP-10001492","60.34"
"15","CA-2017-117590","20170812","GH-14485","FUR-FU-10003664","190.92"
"16","CA-2018-120999","20181009","LC-16930","TEC-PH-10004093","147.168"
"17","CA-2017-118255","20171103","ON-18715","TEC-AC-10000171","45.98"
"18","CA-2017-118255","20171103","ON-18715","OFF-BI-10003291","17.46"
"19","CA-2017-105816","20171112","JM-15265","OFF-FA-10000304","15.26"
"20","CA-2017-105816","20171112","JM-15265","TEC-PH-10002447","1029.95"
"21","CA-2015-106376","20150512","BS-11590","TEC-PH-10002726","167.968"
"22","CA-2017-119823","20170406","KD-16270","OFF-PA-10000482","75.88"
"23","US-2018-118038","20180912","KB-16600","OFF-BI-10004182","1.248"
"24","US-2018-118038","20180912","KB-16600","FUR-FU-10000260","9.708"
"25","US-2018-118038","20180912","KB-16600","OFF-ST-10000615","27.24"
"26","CA-2017-127208","20171206","SC-20770","OFF-AP-10002118","208.16"
"27","CA-2017-127208","20171206","SC-20770","OFF-BI-10002309","16.74"
"28","CA-2015-139451","20151210","DN-13690","OFF-AR-10002053","14.9"
"29","CA-2015-139451","20151210","DN-13690","OFF-ST-10002370","21.39"
"30","CA-2016-149734","20160309","JC-16105","OFF-EN-10000927","200.984"
"31","CA-2017-159695","20170504","GM-14455","OFF-ST-10003442","158.368"
"32","US-2018-109484","20180611","RB-19705","OFF-BI-10004738","5.682"
"33","CA-2018-161018","20180911","PN-18775","FUR-FU-10000629","96.53"
"34","CA-2017-149223","20170609","ER-13855","OFF-AP-10000358","77.88"
"35","CA-2017-129903","20170112","GZ-14470","OFF-PA-10004040","23.92"
"36","CA-2017-128867","20170311","CL-12565","OFF-AR-10000380","75.96"
"37","CA-2017-128867","20170311","CL-12565","OFF-BI-10003981","27.24"
"38","CA-2016-110457","20160203","DK-13090","FUR-TA-10001768","787.53"
"39","US-2016-136476","20160504","GG-14650","OFF-BI-10003650","157.794"
"40","CA-2017-103730","20171206","SC-20725","FUR-FU-10002157","47.04"
"41","CA-2017-103730","20171206","SC-20725","OFF-BI-10003910","30.84"
"42","CA-2017-103730","20171206","SC-20725","OFF-ST-10000777","226.56"
"43","CA-2017-103730","20171206","SC-20725","OFF-EN-10002500","115.02"
"44","CA-2017-103730","20171206","SC-20725","TEC-PH-10003875","68.04"
"45","US-2018-107272","20180511","TS-21610","OFF-BI-10003274","2.388"
"46","US-2018-107272","20180511","TS-21610","OFF-ST-10002974","243.992"
"47","US-2017-125969","20170611","LS-16975","FUR-CH-10001146","81.424"
"48","US-2017-125969","20170611","LS-16975","FUR-FU-10003773","238.56"
"49","US-2018-164147","20180202","DW-13585","TEC-PH-10002293","59.97"
"50","US-2018-164147","20180202","DW-13585","OFF-PA-10002377","78.304"
"51","US-2018-164147","20180202","DW-13585","OFF-FA-10002780","21.456"
"52","CA-2017-110366","20170509","JD-15895","FUR-FU-10004848","82.8"
"53","CA-2016-110744","20160709","HA-14920","OFF-ST-10003656","671.93"
"54","CA-2017-114489","20170512","JE-16165","TEC-PH-10000215","384.45"
"55","CA-2017-114489","20170512","JE-16165","TEC-PH-10001448","149.97"
"56","CA-2017-114489","20170512","JE-16165","FUR-CH-10000454","1951.84"
"57","CA-2017-114489","20170512","JE-16165","OFF-BI-10002735","171.55"
"58","CA-2015-104269","20150103","DB-13060","FUR-CH-10004063","457.568"
"59","CA-2017-162733","20171105","TT-21070","OFF-PA-10002751","5.98"
"60","CA-2017-113817","20170711","MJ-17740","OFF-BI-10004002","27.68"
"61","CA-2015-139892","20150809","BM-11140","OFF-AR-10004441","9.936"
"62","CA-2015-139892","20150809","BM-11140","OFF-ST-10000991","275.928"
"63","CA-2015-139892","20150809","BM-11140","FUR-CH-10004287","1740.06"
